participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.timeout,player.consent_given,player.quiz_1,player.quiz_2,player.quiz_3,player.quiz_4,player.quiz_5,player.quiz_1_init,player.quiz_2_init,player.quiz_3_init,player.quiz_4_init,player.quiz_5_init,player.quiz_grade,player.quiz_attempt,player.quiz_failed,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,v4uv4ury,0jpfzflv_07T,0,0,9,,,,0,,,0.0,1,,0.0,0.0,,,,,,,,,,,,0,0,0,1,1,0jpfzflv,2024-09-21,,,Landing Page,1
2,1mlvm96y,0jpfzflv_32S,0,0,9,,,,0,,,0.0,2,,0.0,0.0,,,,,,,,,,,,0,0,0,1,1,0jpfzflv,2024-09-21,,,Landing Page,1
3,q1ddi53s,0jpfzflv_07D,0,0,9,,,,0,,,0.0,3,,0.0,0.0,,,,,,,,,,,,0,0,0,1,1,0jpfzflv,2024-09-21,,,Landing Page,1
4,8jwgf6xg,0jpfzflv_36T,0,0,9,,,,0,,,0.0,4,,0.0,0.0,,,,,,,,,,,,0,0,0,1,1,0jpfzflv,2024-09-21,,,Landing Page,1
5,tlur9utl,0jpfzflv_04A,0,0,9,,,,0,,,0.0,5,,0.0,0.0,,,,,,,,,,,,0,0,0,1,1,0jpfzflv,2024-09-21,,,Landing Page,1
6,3isdfyb6,0jpfzflv_53B,0,0,9,,,,0,,,0.0,6,,0.0,0.0,,,,,,,,,,,,0,0,0,1,1,0jpfzflv,2024-09-21,,,Landing Page,1
7,ct7a60os,0jpfzflv_95F,0,0,9,,,,0,,,0.0,7,,0.0,0.0,,,,,,,,,,,,0,0,0,1,1,0jpfzflv,2024-09-21,,,Landing Page,1
8,tuxnl7t1,0jpfzflv_51S,0,0,9,,,,0,,,0.0,8,,0.0,0.0,,,,,,,,,,,,0,0,0,1,1,0jpfzflv,2024-09-21,,,Landing Page,1
9,44uqfo0g,0jpfzflv_32Q,0,0,9,,,,0,,,0.0,9,,0.0,0.0,,,,,,,,,,,,0,0,0,1,1,0jpfzflv,2024-09-21,,,Landing Page,1
10,58r9w7z9,0jpfzflv_21Q,0,0,9,,,,0,,,0.0,10,,0.0,0.0,,,,,,,,,,,,0,0,0,1,1,0jpfzflv,2024-09-21,,,Landing Page,1
11,79ju53tj,0jpfzflv_07A,0,0,9,,,,0,,,0.0,11,,0.0,0.0,,,,,,,,,,,,0,0,0,1,1,0jpfzflv,2024-09-21,,,Landing Page,1
12,dpm9guap,0jpfzflv_43O,0,0,9,,,,0,,,0.0,12,,0.0,0.0,,,,,,,,,,,,0,0,0,1,1,0jpfzflv,2024-09-21,,,Landing Page,1
13,23v3wpdo,0jpfzflv_02A,0,0,9,,,,0,,,0.0,13,,0.0,0.0,,,,,,,,,,,,0,0,0,1,1,0jpfzflv,2024-09-21,,,Landing Page,1
14,8ah9cwjz,0jpfzflv_32H,0,0,9,,,,0,,,0.0,14,,0.0,0.0,,,,,,,,,,,,0,0,0,1,1,0jpfzflv,2024-09-21,,,Landing Page,1
15,fraep0g6,0jpfzflv_92V,0,0,9,,,,0,,,0.0,15,,0.0,0.0,,,,,,,,,,,,0,0,0,1,1,0jpfzflv,2024-09-21,,,Landing Page,1
16,j1gg1ebh,0jpfzflv_32K,0,0,9,,,,0,,,0.0,16,,0.0,0.0,,,,,,,,,,,,0,0,0,1,1,0jpfzflv,2024-09-21,,,Landing Page,1
17,uvn3ok21,0jpfzflv_61L,0,0,9,,,,0,,,0.0,17,,0.0,0.0,,,,,,,,,,,,0,0,0,1,1,0jpfzflv,2024-09-21,,,Landing Page,1
18,gd21bz8n,0jpfzflv_66D,0,0,9,,,,0,,,0.0,18,,0.0,0.0,,,,,,,,,,,,0,0,0,1,1,0jpfzflv,2024-09-21,,,Landing Page,1
19,0ani4hmd,0jpfzflv_39P,0,0,9,,,,0,,,0.0,19,,0.0,0.0,,,,,,,,,,,,0,0,0,1,1,0jpfzflv,2024-09-21,,,Landing Page,1
20,5k2rwdrh,0jpfzflv_75D,0,0,9,,,,0,,,0.0,20,,0.0,0.0,,,,,,,,,,,,0,0,0,1,1,0jpfzflv,2024-09-21,,,Landing Page,1
21,aof4odsn,0jpfzflv_30B,0,0,9,,,,0,,,0.0,21,,0.0,0.0,,,,,,,,,,,,0,0,0,1,1,0jpfzflv,2024-09-21,,,Landing Page,1
22,xv1ynrll,0jpfzflv_43X,0,0,9,,,,0,,,0.0,22,,0.0,0.0,,,,,,,,,,,,0,0,0,1,1,0jpfzflv,2024-09-21,,,Landing Page,1
23,yb6wv90x,0jpfzflv_79Q,0,0,9,,,,0,,,0.0,23,,0.0,0.0,,,,,,,,,,,,0,0,0,1,1,0jpfzflv,2024-09-21,,,Landing Page,1
